Date,Close,High,Low,Open,Volume
2024-04-22,165.24,166.66,164.18,164.92,48116400.0
2024-04-23,166.3,166.45,164.33,164.75,49537800.0
2024-04-24,168.41,168.69,165.61,165.94,48251800.0
2024-04-25,169.28,169.99,167.54,168.92,50558300.0
2024-04-26,168.69,170.72,168.57,169.27,44838400.0
2024-04-29,172.87,175.4,172.48,172.74,68169400.0
2024-04-30,169.72,174.36,169.39,172.71,65934800.0
2024-05-01,168.69,172.09,168.5,168.97,50383100.0
2024-05-02,172.41,172.79,170.27,171.89,94214900.0
2024-05-03,182.72,186.33,182.0,185.98,163224100.0
2024-05-06,181.05,183.54,179.77,181.69,78569700.0
2024-05-07,181.74,184.23,180.67,182.79,77305800.0
2024-05-08,182.08,182.41,180.8,182.19,45057100.0
2024-05-09,183.9,183.99,181.45,181.9,48983000.0
2024-05-10,182.64,184.67,181.72,184.48,50759500.0
2024-05-13,185.86,186.68,184.2,185.02,72044800.0
2024-05-14,187.01,187.88,185.87,187.09,52393600.0
2024-05-15,189.29,190.22,186.95,187.49,70400000.0
2024-05-16,189.41,190.67,189.23,190.04,52845200.0
2024-05-17,189.44,190.38,188.75,189.08,41282900.0
2024-05-20,190.61,191.49,188.58,188.9,44361300.0
2024-05-21,191.92,192.3,190.49,190.66,42309400.0
2024-05-22,190.47,192.39,189.84,191.84,34648500.0
2024-05-23,186.46,190.57,186.21,190.55,51005900.0
2024-05-24,189.55,190.15,187.62,188.39,36294600.0
2024-05-28,189.56,192.57,188.67,191.08,52280100.0
2024-05-29,189.86,191.82,189.08,189.18,53068000.0
2024-05-30,190.86,191.75,190.2,190.33,49947900.0
2024-05-31,191.82,192.14,189.48,191.01,75158300.0
2024-06-03,193.59,194.55,192.09,192.47,50080500.0
2024-06-04,193.91,194.88,192.59,194.2,47471400.0
2024-06-05,195.43,196.46,194.43,194.96,54156800.0
2024-06-06,194.04,196.06,193.73,195.25,41181800.0
2024-06-07,196.45,196.5,193.7,194.21,53103900.0
2024-06-10,192.68,196.86,191.72,196.46,97262100.0
2024-06-11,206.68,206.69,193.19,193.21,172373300.0
2024-06-12,212.59,219.7,206.43,206.9,198134300.0
2024-06-13,213.76,216.26,211.12,214.26,97862700.0
2024-06-14,212.01,214.69,210.82,213.37,70122700.0
2024-06-17,216.18,218.46,212.24,212.89,93728300.0
2024-06-18,213.81,218.14,212.52,217.1,79943300.0
2024-06-20,209.21,213.76,208.38,213.45,86172500.0
2024-06-21,207.02,211.41,206.64,209.92,246421400.0
2024-06-24,207.67,212.22,206.12,207.25,80727000.0
2024-06-25,208.6,210.9,208.14,208.68,56713900.0
2024-06-26,212.77,214.38,210.17,211.02,66213200.0
2024-06-27,213.62,215.25,211.87,214.21,49772700.0
2024-06-28,210.15,215.58,209.83,215.28,82542700.0
2024-07-01,216.26,217.02,211.44,211.61,60402900.0
2024-07-02,219.77,219.88,214.62,215.66,58046200.0
2024-07-03,221.05,221.05,218.54,219.5,37369800.0
2024-07-05,225.83,225.94,221.15,221.15,60412400.0
2024-07-08,227.31,227.34,222.75,226.58,59085900.0
2024-07-09,228.16,228.88,225.86,227.42,48076100.0
2024-07-10,232.45,232.55,228.73,228.78,62627700.0
2024-07-11,227.06,231.87,225.26,230.87,64710600.0
2024-07-12,230.02,232.12,228.16,228.4,53046500.0
2024-07-15,233.87,236.7,232.56,235.95,62631300.0
2024-07-16,234.29,235.74,231.81,234.47,43234300.0
