Price,Close,High,Low,Open,Volume
Date,,,,,
2023-01-03,123.77,129.54,122.88,128.92,112117500.00
2023-01-04,125.05,127.32,123.78,125.57,89113600.00
2023-01-05,123.72,126.44,123.46,125.81,80962700.00
2023-01-06,128.27,128.93,123.59,124.70,87754700.00
2023-01-09,128.80,132.02,128.54,129.11,70790800.00
2023-01-10,129.37,129.89,126.79,128.90,63896200.00
2023-01-11,132.10,132.12,129.10,129.88,69458900.00
2023-01-12,132.02,132.86,130.07,132.49,71379600.00
2023-01-13,133.36,133.52,130.29,130.66,57809700.00
2023-01-17,134.53,135.86,132.73,133.43,63646600.00
2023-01-18,133.80,137.17,133.62,135.40,69672800.00
2023-01-19,133.86,134.83,132.38,132.68,58280400.00
2023-01-20,136.44,136.58,132.82,133.87,80223600.00
2023-01-23,139.64,141.83,136.46,136.68,81760300.00
2023-01-24,141.05,141.67,138.84,138.85,66435100.00
2023-01-25,140.38,140.95,137.37,139.42,65799300.00
2023-01-26,142.46,142.75,140.42,141.68,54105100.00
2023-01-27,144.41,145.70,141.59,141.67,70555800.00
2023-01-30,141.51,144.04,141.36,143.45,64015300.00
2023-01-31,142.79,142.84,140.80,141.21,65874500.00
2023-02-01,143.92,145.08,139.85,142.47,77663600.00
2023-02-02,149.25,149.61,146.63,147.35,118339000.00
2023-02-03,152.89,155.74,146.29,146.49,154357300.00
2023-02-06,150.15,151.51,149.21,150.98,69858300.00
2023-02-07,153.04,153.61,149.07,149.07,83322600.00
2023-02-08,150.34,152.97,149.60,152.28,64120100.00
2023-02-09,149.30,152.72,148.85,152.18,56007100.00
2023-02-10,149.67,149.99,147.89,148.13,57450700.00
2023-02-13,152.48,152.89,149.58,149.61,62199000.00
2023-02-14,151.84,152.40,149.52,150.77,61707600.00
2023-02-15,153.95,154.12,151.52,151.75,65573800.00
2023-02-16,152.34,154.94,151.99,152.14,68167900.00
2023-02-17,151.19,151.64,149.51,150.99,59144100.00
2023-02-21,147.16,149.95,147.09,148.86,58867200.00
2023-02-22,147.59,148.62,145.85,147.55,51011300.00
2023-02-23,148.07,149.00,145.93,148.75,48394200.00
2023-02-24,145.40,145.88,144.42,145.80,55469600.00
2023-02-27,146.60,147.84,146.14,146.40,44998500.00
2023-02-28,146.10,147.75,145.52,145.74,50547000.00
2023-03-01,144.02,145.92,143.72,145.52,55479000.00
2023-03-02,144.61,145.40,142.62,143.10,52238100.00
2023-03-03,149.69,149.77,146.02,146.72,70732300.00
2023-03-06,152.46,154.91,152.09,152.42,87558000.00
2023-03-07,150.25,152.66,149.79,152.33,56182000.00
2023-03-08,151.51,152.10,150.48,151.45,47204800.00
2023-03-09,149.25,153.17,148.89,152.19,53833600.00
2023-03-10,147.18,149.60,146.30,148.87,68572400.00
2023-03-13,149.13,151.78,146.39,146.50,84457100.00
2023-03-14,151.23,152.04,148.76,149.93,73695900.00
2023-03-15,151.63,151.89,148.59,149.85,77167900.00
2023-03-16,154.46,155.07,150.29,150.81,76161100.00
2023-03-17,153.62,155.35,152.91,154.69,98944600.00
2023-03-20,156.00,156.42,152.78,153.69,73641400.00
2023-03-21,157.86,157.98,155.15,155.92,73938300.00
2023-03-22,156.43,160.70,156.41,157.88,75701800.00
2023-03-23,157.52,160.11,156.28,157.42,67622100.00
2023-03-24,158.82,158.91,156.45,157.45,59196500.00
2023-03-27,156.87,159.34,156.47,158.52,52390300.00
2023-03-28,156.25,157.08,154.59,156.56,45992200.00
2023-03-29,159.34,159.62,157.93,157.95,51305700.00
2023-03-30,160.92,161.02,159.84,160.09,49501700.00
2023-03-31,163.43,163.53,160.47,160.99,68749800.00
